certificateNo,name,documentType,facilityType,facilityClass,city,district,placeId,reason,firstPartySource
"27253","Black Royal Belek","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","SERİK","ChIJ7R4mgrdlwxQRgySTIFSRYok","operational-confirmed",""
"2863","BLUE DIAMOND ALYA HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ2VD-UAuZ3BQRpfCRFiPHH2Y","operational-confirmed",""
"2022-7-1144","BLUE DREAM HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJNRioU16Y3BQR8mT0PGX_oXg","operational-confirmed",""
"11069","BLUE FİSH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJq4EFzW-j3BQRIBl03jtESbo","operational-confirmed",""
"G_26416","BLUE MORE SUİTE  HOTEL","Turizm İşletmesi Belgesi","Otel","1 Yıldızlı","ANTALYA","KONYAALTI","ChIJySwoXiKRwxQRUIvmmesZW8M","operational-confirmed",""
"10048","BLUE STAR OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJLxwW1oei3BQRaOOC-eJEN4k","operational-confirmed",""
"2687","BOULEVARD OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJoUryEmSY3BQRdGmvKjfWfvs","operational-confirmed",""
"8689","CALIDO SOL HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJi1AT6Oes3BQRzsyCZ2mnCeY","operational-confirmed",""
"15758","CALİDO MARİS","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJOcRmqDlTwxQRHOPzlqucAKE","operational-confirmed",""
"20179","CAMPUS HİLL OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJoeJxs5WZ3BQRmDFaxaihit0","operational-confirmed",""
"11604","CAN GARDEN RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJX4LJIO9ewxQRMvlAIN_j6Rc","operational-confirmed",""
"4612","CARETTA BEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJGzNDqXCk3BQRhEyngEAp5Ls","operational-confirmed",""
"6759","CARETTA RELAX OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJJ6YYf_Ok3BQR8AvJ5tnFUuM","operational-confirmed",""
"2022-7-1805","CASATIVO HOTELS","Basit Konaklama","OTEL","","ANTALYA","MURATPAŞA","ChIJ9wS5xQybwxQRAXDg4EceCKI","operational-confirmed",""
"26458","CASTELLO BY MEDITERRA HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJr0O9QQCZ3BQR9xjLEReEn0w","operational-confirmed",""
"2022-7-0601","CASTLE PARK HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJmyx0s26_wxQRhnG9YIXnsQ4","operational-confirmed",""
"8979","CATAMARAN","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJTVVVVZK3wxQRPJ_uQXBaJJ8","operational-confirmed",""
"2022-7-1075","CITY OTEL AMBASSADOR","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJea_Y3mO3wxQRW39fVYFutW0","operational-confirmed",""
"26377","CİTRUS URBAN HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","KONYAALTI","ChIJCcuAY6CRwxQRialR5JgHk8c","operational-confirmed",""
"2022-7-0964","CİTY OTEL AMBASSADOR","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJea_Y3mO3wxQRW39fVYFutW0","operational-confirmed",""
"20717","CLEOPATRA GOLDEN BEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJVVUJSHWa3BQRTfppPNlkOY4","operational-confirmed",""
"11006","CLUB  OTEL  RAMA","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","KEMER","ChIJQ3z6MtS4wxQRqmSv2jkfwKM","operational-confirmed",""
"17987","CLUB BIG BLUE SUITE HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ7Wr6M1aY3BQRUBqEr53ga_M","operational-confirmed",""
"4497","CLUB BORAN MARE BEACH","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","KEMER","ChIJBZzOh_q4wxQRmdkYA2aDMgM","operational-confirmed",""
"8560","CLUB DİZALYA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJRYMpWnal3BQRULePBbcaupk","operational-confirmed",""
"6448","CLUB GRAND SİDE","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJXf6cj_FewxQRqltZ7X7F4xM","operational-confirmed",""
"2022-7-0581","CLUB HOTEL BELPINAR","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJYz2GEai_wxQRxsq_Y4ePBGI","operational-confirmed",""
"11102","CLUB HOTEL SUNBEL","Turizm İşletmesi Belgesi","Otel","1 Yıldızlı","ANTALYA","KEMER","ChIJlxaOCiO_wxQR1PM5s3_diX4","operational-confirmed",""
"3676","CLUB HOTEL TURAN PRİNCE WORLD","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJexkPXtBe2xQRUXvSC4so7TE","operational-confirmed",""
"1497","CLUB KASTALIA","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","ALANYA","ChIJ3cid1oyk3BQRsjP5JrR0WRA","operational-confirmed",""
"13254","CLUB MARAKESH BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJ8bmrKUe_wxQRDE2cBP4E39U","operational-confirmed",""
"12870","CLUB MARCO POLO","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","KEMER","ChIJNw2cNQDJwxQRS_ez5kWkdY4","operational-confirmed",""
"4407","CLUB NENA","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJX74wAP9TwxQRGdeOITY1prk","operational-confirmed",""
"14377","CLUB OTEL MERMAID VILLAGE","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ44qVyoKk3BQRxOxhmT1z8dI","operational-confirmed",""
"24499","CLUB PARADİSO HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJcx0tdIGZ3BQRCpHgtd3W_VM","operational-confirmed",""
"26021","CLUB SİDE COAST HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","MANAVGAT","ChIJi9zMyMNewxQRbKRBQULtx_I","operational-confirmed",""
"16186","CLUB SİDE COAST OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJi9zMyMNewxQRbKRBQULtx_I","operational-confirmed",""
"15370","CLUB TESS OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJA_D2hvmk3BQR6SvRU6cVQw8","operational-confirmed",""
"17129","CONCORDİA CELES","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJdyUU8-as3BQR937Rx3E85JI","operational-confirmed",""
"7111","CORENDON HYDROS CLUB KEMER","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJUU-8hZq3wxQRZtllIcLJwmg","operational-confirmed",""
"9347","ÇAMYUVA BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJf_saTGa2wxQRrH0iHKFrDJA","operational-confirmed",""
"10701","ÇENGER BEACH RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJU_peCp5XwxQRh6ps93LHuR0","operational-confirmed",""
"14299","DAİMA BİZ HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJv80aCFi2wxQRK4DtXCX_cPo","operational-confirmed",""
"20812","Day One Beach Resort Hotel","Turizm İşletmesi Belgesi","Butik Otel","","ANTALYA","ALANYA","ChIJISRzG1qY3BQRq_tjH1_k5cw","operational-confirmed",""
"2022-7-1110","DEDEMAN KEMER RESORT","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJ26Pj-VW3wxQRBMXkIygG888","operational-confirmed",""
"7763","DEFNE DREAM","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJX-JRGEdHdkAR7gXlKAGAT60","operational-confirmed",""
"11050","DEFNE GARDEN","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJgymPDjVZwxQRd5T0oJwQqro","operational-confirmed",""
"15217","DELTA HOTELS BY MARRİOTT ANTALYA LARA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MURATPAŞA","ChIJK5r80CybwxQRZrc45UnFN_s","operational-confirmed",""
"2022-7-1071","DELUXE ERSOY HOTEL","Basit Konaklama","HOTEL","","ANTALYA","MURATPAŞA","ChIJBU3hiweRwxQROdu_aIFBjIo","operational-confirmed",""
"2022-7-0541","DENİZ HOTEL","Basit Konaklama","OTEL","","ANTALYA","KONYAALTI","ChIJ875pJQp8wxQRf8DtGaLOhMg","operational-confirmed",""
"12874","DIAMOND HILL RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJo8IlGQCZ3BQRJnU0-hC1RKc","operational-confirmed",""
"2022-7-0091","DIAMORE HOTEL","Basit Konaklama","HOTEL","","ANTALYA","ALANYA","ChIJlw1uVQaQwxQRJXjiLlvpMfQ","operational-confirmed",""
"25842","DİAMOND EXCELLENCE RESORT & SPA HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJIb9CrUJewxQRmImBZK_UWwU","operational-confirmed",""
"15641","DİAMOND PREMİUM HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJF2mtcUtXwxQRyo65MLo5LV8","operational-confirmed",""
"13152","DİZALYA PALM GARDEN OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJW4912o6k3BQRJNJw5tpcQik","operational-confirmed",""
"9284","DOBEDAN EXCLUSİVE HOTEL BELEK","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","SERİK","ChIJccqd4XJkwxQRd1Bgc9kaSWY","operational-confirmed",""
"13646","DOBEDAN WORLD PALACE KEMER","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJi4YgNPy2wxQR9YRhKbRueBs","operational-confirmed",""
"G_25679","DOSINIA LUXURY RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","KEMER","ChIJHYRgoKK4wxQRMMtLDts2qnE","operational-confirmed",""
"13680","DOSİ OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","MANAVGAT","ChIJUa5lDrDmn0ARsQQGxBA0q3o","operational-confirmed",""
"20583","DREAM WATER WORLD","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJT0umQiZZwxQRlvAd2w3CGPE","operational-confirmed",""
"20566","DREAM WORLD PALACE HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJIfhjJQZfwxQRf58Dw8CPyUE","operational-confirmed",""
"13821","DREAM WORLD RESORT HOTEL & SPA","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","MANAVGAT","ChIJc32DQ8xewxQRqmb14jXD6ew","operational-confirmed",""
"12642","DRİTA OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJW4A4iI6Q3BQRm13U9D8OudY","operational-confirmed",""
"2022-7-1491","EDEM FLOWER OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJwxjurgq3wxQRE6R3b_hWnAE","operational-confirmed",""
"23885","EFTALIA BLUE HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJd2_lQ-al3BQRN87fQpAsXlI","operational-confirmed",""
"14630","EFTALIA MARIN RESORT OTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJb9ljZL6RwxQRmyntWM67mjk","operational-confirmed",""
"15846","EFTALIA OCEAN","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJ____tGSl3BQRDfqfCTmx3eQ","operational-confirmed",""
"17537","ELAMIR RESORT HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJPUvH3iVZwxQR6hlp5Hz7V-A","operational-confirmed",""
"2022-7-1478","ELIJAH HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJAQBA6KC3wxQR44rvPYW5LBw","operational-confirmed",""
"2022-7-0444","ELİT LİFE HOTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJc-Aya2a2wxQRc9TWqQiCJmM","operational-confirmed",""
"9585","ELYSEE BEACH","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJE4NxSYWi3BQRdvNbIyeVJWw","operational-confirmed",""
"3204","ELYSEE RIVE","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJEeo3YF6Y3BQRX-znFYNadgA","operational-confirmed",""
"27397","EMELDA SUN CLUB","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","KEMER","ChIJA9MW0G-2wxQRqaWWykx-v_Y","operational-confirmed",""
"2022-7-1149","EN VIE BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJxWfVn3-i3BQRVZHWa601OFU","operational-confirmed",""
"26111","EOS BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJs46WYKil3BQRx-iAPvWkctw","operational-confirmed",""
"2022-7-1188","ERGÜN OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJa26zg7yRwxQRGqK76ibcSak","operational-confirmed",""
